uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
7397bbf7-5a9e-4c10-8c9b-cab5c6ebd66c,BART_036.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_036,NEON.PLA.D01.BART.04543,NA,single bole tree,32.7,130,15.5,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
5d15faff-7b49-442a-862d-4191ffb60772,BART_046.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_046,NEON.PLA.D01.BART.04354,NA,single bole tree,18.4,130,15.7,NA,NA,NA,NA,NA,NA,NA,NA,201239c79f68859821be3b816d69a79f,fded07b2e763e3b084f1e15cf9e3120f
d27a1bf3-445b-4e8c-8c54-4beb81e0c2b0,BART_036.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_036,NEON.PLA.D01.BART.04972,NA,NA,26.2,130,17.9,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
d5f9ab50-fddf-4528-84d9-f870a460163f,BART_036.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_036,NEON.PLA.D01.BART.04973,NA,single bole tree,21.9,130,10.5,NA,NA,NA,17.0,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
586b4192-49aa-4339-9441-c9a9403bd8f4,BART_072.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_072,NEON.PLA.D01.BART.05358,NA,single bole tree,30.0,130,15.4,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
b6211960-2d1c-493f-af7f-327085677b14,BART_036.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_036,NEON.PLA.D01.BART.04990,NA,single bole tree,22.3,130,17.5,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
79cee7bf-7230-446d-af22-b4f5ff941d06,BART_072.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_072,NEON.PLA.D01.BART.05387,NA,single bole tree,53.5,130,24.8,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
95e88955-6381-4109-825e-ff5fa7e978e5,BART_072.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_072,NEON.PLA.D01.BART.05484,NA,single bole tree,26.2,130,13.6,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
4ea7abf3-4f16-43fc-af01-4311a3a608ae,BART_072.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_072,NEON.PLA.D01.BART.05390,NA,single bole tree,14.7,130,13.8,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
27b1f04a-dc79-44a8-a777-1ba051b43ccb,BART_046.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_046,NEON.PLA.D01.BART.04325,NA,single bole tree,16.4,130,16.9,NA,NA,NA,NA,NA,NA,NA,NA,201239c79f68859821be3b816d69a79f,fded07b2e763e3b084f1e15cf9e3120f
1cef7d81-4dcf-411e-bcc2-d5009a0bb92d,BART_046.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_046,NEON.PLA.D01.BART.04322,NA,single bole tree,24.4,130,13.0,NA,NA,NA,NA,NA,NA,NA,NA,201239c79f68859821be3b816d69a79f,fded07b2e763e3b084f1e15cf9e3120f
a0a1527e-8453-4621-a9c4-95ea57fd8ef3,BART_036.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_036,NEON.PLA.D01.BART.04548,NA,single bole tree,20.0,130,12.0,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
150afa26-ab45-45a8-b530-12e6e1d73f95,BART_036.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_036,NEON.PLA.D01.BART.04993,NA,single bole tree,13.8,130,12.5,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
4a4f67df-ec03-41d2-af01-54dfe5433b15,BART_036.basePlot.vst,2015-09-01,vst_BART_2015,D01,BART,BART_036,NEON.PLA.D01.BART.04546,NA,single bole tree,16.9,130,13.5,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
