uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
dd2b8d74-06b2-4a05-8e3e-42350064d454,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04334,single bole tree,14.2,130,14.7,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
a89e14d1-9cd4-4d1a-80d5-568a14cdafc3,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04313,single bole tree,12.1,130,12.1,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
a7a208fc-0e6b-4b09-a4f0-971c6e042794,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04349,single bole tree,39.5,130,22.2,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
f010dc78-b070-4aae-aead-e37771eadbc8,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04336,single bole tree,20.3,130,15.3,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
0f1651a4-502a-4c4e-a2ca-a6bb656906ac,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
d44bca5b-9a92-4aad-adbe-20be3ddbb2e4,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04319,single bole tree,11.3,130,12.8,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
3e508def-0877-44d5-9c6b-3fad730a4d2f,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04323,single bole tree,38.8,130,20.7,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
eddcb2d3-fff3-4bb6-b1ba-612e166f2377,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04354,single bole tree,18.4,130,17.0,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
c65b3edb-e59f-458b-90e9-f2b6c6762a72,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04348,single bole tree,36.4,130,24.4,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
3a116155-d16f-40c8-8065-624be8e44b27,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04446,single bole tree,10.2,130,12.9,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
19d229c5-7d60-4cb8-a7d9-cbb3fea0c2b6,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04324,single bole tree,14.1,130,12.7,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
e341389b-728d-4b88-845e-ad8bea4d34bf,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04328,single bole tree,30.1,130,22.0,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
05cd99c2-bd77-45ae-afed-df01347c84e7,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04355,single bole tree,36.5,130,3.8,NA,3.8,15.0,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
adeaa844-b6ca-45c1-90c5-12fd1179356f,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04320,single bole tree,27.8,130,20.7,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
beac169f-fc41-488c-9590-143ed7aa2152,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04332,single bole tree,38.8,130,21.5,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
3878b20c-f1ab-4ee3-99e9-eab9fafdaded,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04343,single bole tree,29.0,130,23.3,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
8a811643-603f-4b0c-ad33-90cd13fc9372,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04316,single bole tree,23.1,130,12.2,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
7b2ee0d9-a907-4f9d-a721-0fa3e64d8779,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04310,single bole tree,20.6,130,19.5,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
784954f8-09cf-4608-b9d8-ad9386619ceb,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.05015,small tree,9.3,130,10.8,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
4a3af950-653e-4a65-9f81-d2826bd5f8a2,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04322,single bole tree,24.4,130,12.8,NA,10.2,12.0,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
c591f050-ac90-4f74-81ef-2152a91ce23b,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04445,single bole tree,19.4,130,13.2,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
52bc70f6-7996-447d-b1e0-2daa309db73e,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04342,single bole tree,29.3,130,20.1,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
67539287-94af-42bf-96f9-d23bf522a1a6,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04357,single bole tree,27.7,130,21.2,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
36ca2854-c37b-477d-89e9-ce98cc9a103e,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.05013,single bole tree,12.5,130,9.0,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
5a64c2d6-87c6-4789-8bd5-b4fae700e59d,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04325,single bole tree,16.3,130,17.5,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
6fe42dc7-e736-4d94-b2eb-731e94931223,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04444,single bole tree,13.7,130,13.5,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
52352d3a-9c9e-4e8a-b6f6-1f26aa3f21a3,BART_046.basePlot.vst,2016-08-01,vst_BART_2016,D01,BART,BART_046,NEON.PLA.D01.BART.04318,single bole tree,24.7,130,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2b58a50e0658ae9c070a68e99ebdf1b4,dc85fd99e49f51ac7efa102f278b35a9
39c21e01-acb2-445a-8460-068e6aba35e4,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03671,single bole tree,24.3,130,17.2,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
4b7e6637-50c0-4167-9312-8363fd68fcc5,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.00994,multi-bole tree,11.8,130,11.0,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
d6aed64d-36c9-426c-ab18-6997b42935ab,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03672,single bole tree,19.1,130,12.2,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
b765e90b-39ea-4f1a-bb6a-8beb607ee9d5,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03901,single bole tree,15.6,130,16.7,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
d6adcc13-29c2-4829-a3b6-744e13e9bc6e,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03955,single bole tree,18.9,130,13.8,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
a15c0c91-6af9-4b8b-bf68-e4e3e017986b,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.04633,single bole tree,11.2,130,10.2,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
76938cdc-79ec-44c2-a5f9-23fd40d1c42c,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03667,single bole tree,48.0,130,19.5,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
f269eed1-b601-42bf-a7de-67e6194d9444,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03940,single bole tree,130.6,130,21.9,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
6c4656c1-2c8b-4589-a4a4-bdf6240fdd01,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03928,single bole tree,14.6,130,24.0,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
c081637e-f702-4ff4-a7ef-ac3de8cb6965,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03697,single bole tree,13.0,130,13.3,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
83023ec3-98f2-4e07-9de8-595d539a2d4a,BART_073.basePlot.vst,2016-08-02,vst_BART_2016,D01,BART,BART_073,NEON.PLA.D01.BART.03957,single bole tree,10.9,130,7.9,NA,NA,NA,NA,NA,NA,NA,NA,dc85fd99e49f51ac7efa102f278b35a9,b10d835c1def5a77557be2b76be9340e
