uid,namedLocation,date,eventID,domainID,siteID,plotID,measuredBy,recordedBy,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
52eaf7b6-c8c0-4447-98dc-9d47f9e12bc5,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.04962,NA,sapling,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,1.6
7871d77a-5ea3-48c9-9537-44675291d269,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.02819,NA,small tree,3.5,130,2.4,NA,NA,NA,NA,NA,NA,NA,NA
cf04d235-db64-456f-a05a-0f5ea3df3f36,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.00368,NA,single bole tree,49.3,130,21.6,NA,NA,NA,NA,NA,NA,NA,NA
d5c323ca-03c0-473a-b481-ac34018d023b,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.00809,NA,multi-bole tree,43.6,130,24.4,NA,NA,NA,NA,NA,NA,NA,NA
873e99d5-af44-41f0-a785-ee5fa75e7b9f,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.02710,NA,small tree,2.8,130,3.9,NA,NA,NA,NA,NA,NA,NA,NA
f488b8cf-8b5e-4cb7-adf9-8bb7220d0971,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.02848,NA,sapling,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.3
847f62db-beac-4184-86ab-53a0686fedf2,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.04403,NA,sapling,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,1.1
7163cd09-6057-444a-bc0b-dc1fec6d3088,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.04770,NA,sapling,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,1.1
391c0d9a-68d2-4b37-acab-f4868611b5e7,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.04769,NA,sapling,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,1.6
47d6f620-4dc4-43b5-823c-8d5d01c574e8,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.02854A,NA,multi-bole tree,20.9,130,10.3,NA,6.2,15.0,NA,NA,NA,NA,NA
8610c59f-1e3d-41a2-8eb7-adc2f5ef8b1b,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.02769,NA,small tree,9.2,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA
f4828ccb-e52e-4e0a-a2ec-e2c527b954e8,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.00307,NA,single bole tree,19.4,130,15.9,NA,NA,NA,NA,NA,NA,NA,NA
533cc58f-0e45-47d4-8b7f-42208c0321ca,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.02787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98ebb337-baa9-46f0-88a2-969b4a882827,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,3be9691fc06e125e6c2b316fc6c6be4b,127a5279ddba06d5a758457440def17c,NEON.PLA.D01.BART.02742,NA,small tree,1.0,130,1.6,NA,NA,NA,NA,NA,NA,NA,NA
