uid,namedLocation,date,eventID,plotID,individualID,growthForm,plantStatus,stemDiameter,measurementHeight,height
700a64e7-7d22-419c-bceb-e4b1b65cab9e,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03958,small tree,"Live, disease damaged",9.9,130,10.5
156b0dbc-6c72-43c0-96b6-ee6210930401,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03933,single bole tree,"Live, physically damaged",35.7,130,16.3
cd511baa-ce49-4a1d-828a-d1450126dc5d,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03934,single bole tree,Live,16.3,130,10.8
4aff1bdf-090d-4436-84ef-9f8f409b9c70,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03927,single bole tree,Live,25.2,130,17.7
d3fc0de1-a32e-42c0-b048-7d585b834a87,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03667,single bole tree,Live,48,130,18.3
d6fc9018-8f93-4119-bb16-416cbf582ac4,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03690,single bole tree,No longer qualifies,NA,NA,NA
2f6464e8-84ab-4323-8736-c3f8a1cb500d,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03912,small tree,"Live, disease damaged",8.5,130,2.8
33ad8ea9-80e3-4f71-993b-51199b26b5d6,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03697,single bole tree,"Live, disease damaged",13.7,130,16.2
38c71a32-053c-496b-9dd5-7acc44076e69,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03686,sapling,"Live, physically damaged",NA,NA,1
cb67657d-4cdb-4bc1-880a-adeda72989ef,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03962,small tree,"Live, disease damaged",1.7,130,3
7fb2a6d3-4cce-4941-b3bc-b31cdfb6ee41,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03666,single bole tree,"Live, disease damaged",16.8,130,16
c4c07696-bc8d-4633-b577-edf977c6e885,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03950,single bole tree,"Live, physically damaged",36.4,130,20.3
f5df4f93-5dc8-43e6-ae1f-3b5af1016c9d,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03939,single bole tree,Live,23.7,130,13.4
6a306477-d67e-4811-8e75-64bac9eb79fa,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03948,single bole tree,"Dead, broken bole",35.3,130,17.4
b69dee07-d762-4fe3-963a-8b803ca8cc93,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03930,single bole tree,Live,11.2,130,7
98dad6c2-a536-4d03-a45a-1f9f77ed080f,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03926,single bole tree,"Live, disease damaged",20.3,130,16.9
7bb31916-15b0-45f9-92c6-7b2db05cc3f6,BART_073.basePlot.vst,2018-08-15,vst_BART_2018,BART_073,NEON.PLA.D01.BART.03947,single bole tree,Standing dead,11.6,130,11.8
