uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
a3352991-9c85-4bd6-a8e2-6089784ac27b,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04563,NA,10.5,130,9.7,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
4f0bb395-128e-4709-b402-79d471ef2c91,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04099,NA,15.3,130,7.3,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
c132c7dc-89c8-43f8-8a06-304f1cf46ad7,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04519,NA,15.8,130,14.2,NA,NA,NA,NA,NA,Partially shaded,NA,NA
6e99194f-e827-4e96-8ef3-804f355b7a2a,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04077,NA,10.2,130,12.1,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
582616c6-4bf8-46a1-a942-8ec1700c73f7,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04535,NA,20.4,130,16.1,NA,NA,NA,NA,NA,Partially shaded,NA,NA
606cef45-4d2b-4147-997e-dd9fcab4d177,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04551,NA,14.8,130,12.9,NA,NA,NA,NA,NA,Partially shaded,NA,NA
e86388e9-d493-46dd-bcfd-7cba6443447d,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04812,NA,23.2,130,7.4,NA,NA,NA,NA,NA,NA,NA,NA
852c5a58-85af-4b8c-afee-faddae7d306f,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04550,NA,12.7,130,12.1,NA,NA,NA,NA,NA,Partially shaded,NA,NA
9e3022d8-f336-4348-a825-f7e287ecb403,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04817,NA,15.3,130,14.4,NA,NA,NA,NA,NA,Partially shaded,NA,NA
7c413ecd-d4f6-417e-8ca0-f80445a91fac,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04538,NA,12.3,130,9.8,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
ce592215-0827-4874-ad9c-492e7bcea6ef,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04557,NA,16.0,130,10.9,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
36ddd77e-1cdb-4ee7-800a-36daafab5018,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04075,NA,12.8,130,8.3,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
cb871295-b6d4-4d11-99b7-7ca8ab58513c,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04081,NA,11.7,130,10.6,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
26cedf2b-9f50-48a9-b185-45032d708cb4,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.01424,NA,22.2,130,14.4,NA,NA,NA,NA,NA,Partially shaded,NA,NA
8b3c9d29-ff90-4c34-8289-eb39ca118453,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04085,NA,22.0,130,14.4,NA,NA,NA,NA,NA,Partially shaded,NA,NA
999eb666-cafe-4ee2-9d05-d6993efe7087,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04542,NA,22.2,130,14.4,NA,NA,NA,NA,NA,Full sun,NA,NA
66b4368a-3fe6-47d7-8b7d-3bde68ddc657,HARV_035.basePlot.vst,2015-08-21,vst_HARV_2015,D01,HARV,HARV_035,NEON.PLA.D01.HARV.04559,NA,16.7,130,10.6,NA,NA,NA,NA,NA,Mostly shaded,NA,NA
