uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
c42d7a93-ef7c-4245-a9a5-547115e4d6ba,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.08102,NA,single bole tree,18.1,130,13.9,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
c40b61f5-087d-4fe3-9e35-1e2de72fe1ce,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.10351,NA,single bole tree,12.6,130,7.0,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
14676009-6385-4385-aec4-9bcc63d44516,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.10601,NA,single bole tree,10.0,130,7.0,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
32bf04d9-0ba2-4467-bd06-1bf41e190bf9,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.10602,NA,multi-bole tree,10.0,130,11.8,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
546f5fa9-022b-4f74-90e2-c8428afbe5f9,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.08277,NA,small tree,4.5,130,11.1,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
8dad6251-330e-415f-8d85-6f99e0c94b15,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.08101,NA,single bole tree,13.4,130,13.5,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
93ac73ba-c759-4379-9a3c-d37582859b22,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.08277,NA,small tree,8.0,95,11.1,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
15578253-59f6-4642-8217-a853b50654c3,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.08277,NA,small tree,9.7,120,11.1,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
b7f3960f-9955-4dcd-97a2-9a1fa0aab3dc,HARV_047.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_047,NEON.PLA.D01.HARV.10356,NA,single bole tree,14.3,130,15.0,NA,NA,NA,NA,NA,NA,NA,NA,31fb93825ff2ca2dd9986bf9760b15af,3e3a6efe33ef05b48d7a9e9f3f72bba0
2f57fd44-2b38-4a1f-9e52-720cf4092dec,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10872,NA,single bole tree,10.7,130,9.6,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
32e8a81e-0bda-45a5-8e87-57be2fa66c3d,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10605,NA,single bole tree,10.0,130,8.2,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
76711e02-a518-4a09-b1c7-75f450546e14,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.05148,NA,small tree,8.5,130,7.4,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
88681af9-554f-4a71-b341-7f55ea44637f,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10877,NA,single bole tree,10.7,130,6.0,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
13db95b9-881d-4cda-bd42-c5d1828c6e13,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10875,NA,single bole tree,13.0,130,1.5,NA,1.5,13.0,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
a7520d00-81bb-4154-834e-9a63ad4f5410,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.05377,NA,single bole tree,15.7,130,3.9,NA,3.9,12.0,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
886e0f96-17d4-46c1-bad6-a1a2642f0ad8,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10876,NA,single bole tree,11.1,130,9.6,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
dd2c3655-45f9-4ec1-b5e2-6507ac7641d9,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10893,NA,single bole tree,22.5,130,13.1,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
7fcb5a97-9e66-4d44-b0c7-ba3d3a0d82db,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10873,NA,single bole tree,31.4,130,20.5,NA,19.2,10.0,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
e4a941d9-ea7a-4cb3-88ae-62ce26b35f0f,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.05148,NA,small tree,6.1,130,7.4,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
c00c5b29-27e8-4818-bbed-83827c8f85ce,HARV_034.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_034,NEON.PLA.D01.HARV.10867,NA,single bole tree,28.0,130,24.9,NA,NA,NA,NA,NA,NA,NA,NA,3e3a6efe33ef05b48d7a9e9f3f72bba0,1fb0ab702a1e349ebe60576a6a07ab87
720583b8-044d-49ce-aa0e-f87718636812,HARV_051.basePlot.vst,2016-07-27,vst_HARV_2016,D01,HARV,HARV_051,NEON.PLA.D01.HARV.10438,NA,multi-bole tree,10.3,130,10.0,NA,NA,NA,NA,NA,NA,NA,NA,5a5381f8a9c49e933ae232f23570e02d,3e3a6efe33ef05b48d7a9e9f3f72bba0
e00b3c1e-8b04-4023-a5d2-332cf03c22ed,HARV_051.basePlot.vst,2016-07-27,vst_HARV_2016,D01,HARV,HARV_051,NEON.PLA.D01.HARV.10442,NA,single bole tree,13.7,130,10.0,NA,NA,NA,NA,NA,NA,NA,NA,5a5381f8a9c49e933ae232f23570e02d,3e3a6efe33ef05b48d7a9e9f3f72bba0
d1cf8702-bcfc-477b-9245-c5510ca649bb,HARV_048.basePlot.vst,2016-07-28,vst_HARV_2016,D01,HARV,HARV_048,NEON.PLA.D01.HARV.03951,NA,small tree,6.4,130,4.2,NA,4.2,2.0,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,3e3a6efe33ef05b48d7a9e9f3f72bba0
435dffb4-0b14-40e6-a061-86d4c482f610,HARV_043.basePlot.vst,2016-07-28,vst_HARV_2016,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04958,NA,single bole tree,51.2,130,19.8,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,3e3a6efe33ef05b48d7a9e9f3f72bba0
d8c4b51a-98c3-4719-9a4d-73aa20ac7da1,HARV_043.basePlot.vst,2016-07-28,vst_HARV_2016,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04924,NA,single bole tree,27.7,130,20.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,3e3a6efe33ef05b48d7a9e9f3f72bba0
c8d7556d-83d8-4e00-ab4d-7243a8282bf9,HARV_048.basePlot.vst,2016-07-28,vst_HARV_2016,D01,HARV,HARV_048,NEON.PLA.D01.HARV.10022,NA,single bole tree,10.0,130,6.4,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,3e3a6efe33ef05b48d7a9e9f3f72bba0
