uid,namedLocation,date,eventID,domainID,siteID,plotID,measuredBy,recordedBy,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
74aee132-19ea-4246-b08f-fdc3e6bf7225,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10312,NA,small tree,1.2,130,2.4,NA,NA,NA,NA,NA,NA,NA,NA
06b48a2e-ccdc-4f24-8927-d603dd765a41,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.00249B,NA,multi-bole tree,25.8,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b32087-5187-4f01-a4a3-577efbe45053,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10394,NA,small tree,1.3,130,1.9,NA,NA,NA,NA,NA,NA,NA,NA
feb6a98b-93c5-4cad-bf02-c2c3f70fa1c6,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10394,NA,small tree,1.3,130,1.9,NA,NA,NA,NA,NA,NA,NA,NA
9ad5390f-e0ba-438a-b903-f5d609ea3c48,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10309,NA,small tree,NA,130,6.5,NA,NA,NA,NA,NA,NA,NA,NA
34365b0e-0c2c-4b95-bd17-9241c8eb9849,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.06001,NA,single bole tree,26.7,130,12.9,NA,12.8,10.0,NA,NA,NA,NA,NA
7ad33f10-5795-472e-8f52-03715a2a0459,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10309,NA,small tree,4.5,130,6.5,NA,NA,NA,NA,NA,NA,NA,NA
8a9a6313-d8b6-49f0-872a-be06e348b997,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10313,NA,sapling,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,2.1
2b5e1def-1e10-4c81-a1d6-fa14bc67ea1f,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.00021A,NA,multi-bole tree,19.6,190,NA,NA,3.7,18.0,NA,NA,NA,NA,NA
b53216df-b4c8-437f-afdf-289ac5ffb81d,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10311,NA,small tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0298a15c-6338-4ecb-91ff-33f789165775,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10310,NA,sapling,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,1.1
c300afed-4b31-4b11-ba53-c91d695a8127,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.10680,NA,sapling,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,1.0
55486f1a-6f6e-4856-aea1-a4c4ce264efc,HARV_043.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_043,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.09553,NA,sapling,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,1.4
a5370c53-d097-4723-ab80-301322cac4ff,HARV_043.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_043,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.04924,NA,single bole tree,27.9,130,19.8,NA,NA,NA,NA,NA,NA,NA,NA
a875b4cd-3869-4bbc-b94b-c5db6cbf313b,HARV_043.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_043,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.09536,NA,sapling,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,1.4
d9bb2922-4243-4939-a859-7ffbe7b6b219,HARV_043.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_043,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.04958,NA,single bole tree,59.8,130,19.5,NA,NA,NA,NA,NA,NA,NA,NA
975803c2-1ccb-4083-ba7f-406bd3606ad9,HARV_045.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_045,b10d835c1def5a77557be2b76be9340e,3e3a6efe33ef05b48d7a9e9f3f72bba0,NEON.PLA.D01.HARV.10090,NA,sapling,NA,NA,0.7,NA,0.7,1.7,NA,NA,NA,NA,2.4
