uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
4b204950-1943-4b9a-abc5-786ab26d2863,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00556,single bole tree,10.7,130,8.9,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
0d55ba0a-1708-45a8-b5c6-e79a411e2521,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00532,multi-bole tree,23.5,130,17.8,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
8644a332-9138-441e-a000-110f7893b6ba,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00587,small tree,5.6,130,6.3,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
426aa6c3-1ce2-4cf7-b188-c5cb5550a524,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.10841,single bole tree,10.3,130,6.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
e2dcec0e-43d3-40f6-a037-5fad868bba21,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00558,single bole tree,12.5,130,9.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
8ced76bb-b679-47d6-b544-282148faeedb,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00825,single bole tree,20.8,130,13.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
64b3bd49-0905-4b43-a747-bda481a1357c,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00823,single bole tree,45.1,130,19.9,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
3fd9e521-5fde-4f77-9ad0-42866afe0244,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00503,multi-bole tree,26.0,130,20.4,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
b846a8f0-d634-46de-b08f-f9f8032bf8cc,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.00496,single bole tree,29.3,130,18.0,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
9d45ca8b-1c95-474a-af7c-c914f989c73a,HARV_050.basePlot.vst,2017-10-03,vst_HARV_2017,D01,HARV,HARV_050,NEON.PLA.D01.HARV.10600,single bole tree,10.1,130,13.7,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,521ed1ff5d1a4cda901a7232ba335fae
