uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
6d02b31e-beb6-4ed5-af40-5b992e817c16,BLAN_035.basePlot.vst,2016-09-09,vst_BLAN_2016,D02,BLAN,BLAN_035,NEON.PLA.D02.BLAN.13298,single bole tree,10.8,130,6.5,NA,NA,NA,NA,NA,NA,NA,NA,3036fcf33800046862aa457a94f704a8,51f81e0555f47c00c948901946bb1df5
9cc5fa2a-3d45-45c9-becd-4c21ca08241c,BLAN_052.basePlot.vst,2016-09-09,vst_BLAN_2016,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,single bole tree,11.6,130,6.0,NA,NA,NA,NA,NA,NA,NA,NA,71edee7b3efbcc85e197466b2f26da7b,597db2bf47ff80a4fe271ee2948c7c5a
7d0e81bf-c3cb-4cce-b46f-dfeae051be85,BLAN_052.basePlot.vst,2016-09-09,vst_BLAN_2016,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08167,single bole tree,12.3,130,5.9,NA,NA,NA,NA,NA,NA,NA,NA,71edee7b3efbcc85e197466b2f26da7b,597db2bf47ff80a4fe271ee2948c7c5a
79dbd105-e708-4d9d-b509-b770b7036efb,BLAN_052.basePlot.vst,2016-09-09,vst_BLAN_2016,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08218,single bole tree,13.0,130,6.5,NA,NA,NA,NA,NA,NA,NA,NA,71edee7b3efbcc85e197466b2f26da7b,597db2bf47ff80a4fe271ee2948c7c5a
f7d2e111-bd0c-4f7f-9830-0bd2672a1147,BLAN_057.basePlot.vst,2016-09-13,vst_BLAN_2016,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05354,small shrub,NA,NA,1.1,NA,NA,NA,0.4,0.4,NA,cylinder,1.1,349835f81a17000410382ddb59eee5e6,51f81e0555f47c00c948901946bb1df5
d0999f04-ced8-4676-9b77-7e013cd2d112,BLAN_057.basePlot.vst,2016-09-13,vst_BLAN_2016,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05385,single shrub,1.3,130,2.4,0.4,NA,NA,1.2,1.1,NA,ellipsoid or sphere,2.6,349835f81a17000410382ddb59eee5e6,51f81e0555f47c00c948901946bb1df5
385c52c7-3d94-45de-8cd0-834bf70c1129,BLAN_057.basePlot.vst,2016-09-13,vst_BLAN_2016,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05375,single shrub,3.2,130,4.4,NA,NA,NA,2.8,1.9,NA,inverted cone,4.4,349835f81a17000410382ddb59eee5e6,51f81e0555f47c00c948901946bb1df5
d4f7574d-9943-4605-b339-5c982a34370c,BLAN_057.basePlot.vst,2016-09-13,vst_BLAN_2016,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05389,single shrub,7.1,130,5.2,NA,NA,NA,4.9,4.0,NA,inverted cone,8.1,349835f81a17000410382ddb59eee5e6,51f81e0555f47c00c948901946bb1df5
a4b5ed69-edb1-44b6-b37b-20a046afe333,BLAN_057.basePlot.vst,2016-09-13,vst_BLAN_2016,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05365,single shrub,2.4,130,3.0,NA,NA,NA,1.2,0.9,NA,inverted cone,3.7,349835f81a17000410382ddb59eee5e6,51f81e0555f47c00c948901946bb1df5
0ce2c966-1451-490f-a5aa-86056212e5e0,BLAN_057.basePlot.vst,2016-09-13,vst_BLAN_2016,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05372,small tree,6.1,130,3.8,NA,NA,NA,NA,NA,NA,NA,NA,349835f81a17000410382ddb59eee5e6,51f81e0555f47c00c948901946bb1df5
d5c36f33-3fb5-4ed9-a2b5-6aa3158d0708,BLAN_057.basePlot.vst,2016-09-13,vst_BLAN_2016,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.00166,single shrub,1.7,130,3.2,NA,NA,NA,1.5,1.3,NA,inverted cone,1.9,349835f81a17000410382ddb59eee5e6,51f81e0555f47c00c948901946bb1df5
