uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
ecd2d9ab-8259-4d1b-883d-b536f86bd632,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,NA,multi-bole tree,12.6,130,6.0,NA,NA,NA,NA,NA,NA,NA,NA,fb102f877e0078dec2397f180a6c8cba,4c36af82f4d5566b8325ad098508b3f4
65fad273-c263-4874-9a43-8d6a2b2cee87,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08226,NA,single bole tree,11.9,130,6.6,NA,NA,NA,NA,NA,NA,NA,NA,fb102f877e0078dec2397f180a6c8cba,4c36af82f4d5566b8325ad098508b3f4
cf334472-528b-4b33-bd2b-1ff4e9de4563,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08218,NA,single bole tree,14.4,130,7.2,NA,NA,NA,NA,NA,NA,NA,NA,fb102f877e0078dec2397f180a6c8cba,4c36af82f4d5566b8325ad098508b3f4
724a9d37-070e-4a71-8af3-05e2141cfde7,BLAN_052.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08167,NA,single bole tree,12.5,130,5.7,NA,NA,NA,NA,NA,NA,NA,NA,fb102f877e0078dec2397f180a6c8cba,4c36af82f4d5566b8325ad098508b3f4
5ce21ad1-f01e-4660-90a7-da0362d204ea,BLAN_035.basePlot.vst,2017-09-22,vst_BLAN_2017,D02,BLAN,BLAN_035,NEON.PLA.D02.BLAN.13298,NA,single bole tree,12.2,130,6.8,NA,NA,NA,NA,NA,NA,NA,NA,1f99467eb65a6bce055fb289e2523219,6bebf3843c0cc30bd365b13eb25aaaa5
a76a2671-7318-4517-b0ad-8b040e56dc05,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08240,NA,single shrub,4.5,130,5.1,NA,NA,NA,4.6,3.2,NA,inverted cone,6.5,4c36af82f4d5566b8325ad098508b3f4,1f99467eb65a6bce055fb289e2523219
37a4d412-0714-4509-89d0-006aa40b16d3,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.13184,NA,single shrub,1.2,130,2.8,NA,NA,NA,1.6,1.3,NA,inverted cone,2.3,1f99467eb65a6bce055fb289e2523219,2f66e1772d1b7cba82cd8ee210a31035
45cde509-6094-42c6-83c4-004be1baffef,BLAN_050.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08242,NA,single shrub,3.5,130,4.9,NA,NA,NA,3.4,3.0,NA,inverted cone,3.9,4c36af82f4d5566b8325ad098508b3f4,1f99467eb65a6bce055fb289e2523219
0e3477d0-4388-411d-99a6-5a8340f5d410,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08417,NA,single shrub,1.5,130,3.6,NA,NA,NA,2.6,2.0,NA,inverted cone,3.3,2f66e1772d1b7cba82cd8ee210a31035,1f99467eb65a6bce055fb289e2523219
07f72311-cc24-4a6f-b3c9-be6098097e48,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.08409,NA,liana,1.6,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f66e1772d1b7cba82cd8ee210a31035,1f99467eb65a6bce055fb289e2523219
257042f8-45df-4b93-a2c3-5bb2d186e4a9,BLAN_057.basePlot.vst,2017-09-25,vst_BLAN_2017,D02,BLAN,BLAN_057,NEON.PLA.D02.BLAN.05392,NA,single shrub,1.0,130,2.1,0.8,NA,NA,0.6,0.4,NA,ellipsoid or sphere,2.1,f1ce772cc476c019f8773bfc40eda620,4c36af82f4d5566b8325ad098508b3f4
