uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
a61247dc-31b4-4147-8904-88c563da618f,BLAN_052.basePlot.vst,2018-09-04,vst_BLAN_2018,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08167,single bole tree,13.2,130,7.4,NA,NA,NA,NA,NA,NA,NA,NA
c36076ad-fc36-47ce-80d4-96399f9179e8,BLAN_052.basePlot.vst,2018-09-04,vst_BLAN_2018,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,multi-bole tree,13.8,130,7.3,NA,NA,NA,NA,NA,NA,NA,NA
423cdebc-ba0d-4616-8a94-b938165a0585,BLAN_052.basePlot.vst,2018-09-04,vst_BLAN_2018,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.13191,single bole tree,12.0,130,7.3,NA,NA,NA,NA,NA,NA,NA,NA
ca1c4b8e-cd75-4b9c-99bc-7bd9fa3730ed,BLAN_052.basePlot.vst,2018-09-04,vst_BLAN_2018,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08226,single bole tree,13.7,130,6.3,NA,NA,NA,NA,NA,NA,NA,NA
4f86f3f7-11a1-44f6-b2e2-5b999a0ef813,BLAN_052.basePlot.vst,2018-09-04,vst_BLAN_2018,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08218,single bole tree,16.1,130,8.2,NA,NA,NA,NA,NA,NA,NA,NA
1fdf1f14-ab8a-41a9-99a0-eaee77f04af3,BLAN_052.basePlot.vst,2018-09-04,vst_BLAN_2018,D02,BLAN,BLAN_052,NEON.PLA.D02.BLAN.08168,single bole tree,19.4,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA
39d1987f-545f-4598-8834-f55900fc269c,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08326,single shrub,6.4,130,4.9,NA,NA,NA,6.9,5.1,NA,inverted cone,6.1
4f563663-ae4a-4f89-abe8-03bb4289b60d,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08246,single shrub,4.1,130,4.9,NA,NA,NA,5.3,3.3,NA,inverted cone,5.8
0abf7f85-5551-4dda-8e63-c55ad0ffc5ca,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08241,single shrub,5.3,130,5.3,NA,NA,NA,5.6,3.6,NA,inverted cone,6.8
88a7b295-bf5c-4500-8416-7f643985ba7c,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08242,single shrub,3.9,130,5.6,NA,NA,NA,3.3,1.7,NA,inverted cone,4.3
779f218d-7de5-461c-ab59-f36fd1e73ab0,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08249,single shrub,2.2,130,2.7,NA,NA,NA,1.3,1.2,NA,inverted cone,3.8
3aa6adec-5acb-4f10-8e2c-e955f023291f,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.12237,multi-bole tree,13.2,95,6.1,NA,NA,NA,NA,NA,NA,NA,NA
c74d9a39-26c1-49f1-9cbe-d14b68437959,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.12237B,multi-bole tree,5.0,160,6.1,NA,NA,NA,NA,NA,NA,NA,NA
d5d4af48-6d1f-40ac-9be4-3812f08f54b8,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08249,single shrub,1.7,130,2.7,NA,NA,NA,1.3,1.2,NA,inverted cone,2.8
881e32c1-fe7e-4f8c-bf08-de577d9b895c,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.12237A,multi-bole tree,8.0,130,6.1,NA,NA,NA,NA,NA,NA,NA,NA
dfa4c140-4908-41d7-9e20-5404aba1ed62,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08339,single shrub,3.0,130,4.3,NA,NA,NA,1.8,1.8,NA,inverted cone,3.4
b6f18b2f-ef33-4ef3-b956-5d465be3966f,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08324,single shrub,3.1,130,3.9,NA,NA,NA,3.9,3.2,NA,inverted cone,4.5
027c311a-e103-4441-9a11-a0a8aec4ebc0,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08324,single shrub,4.6,130,3.9,NA,NA,NA,3.9,3.2,NA,inverted cone,8.1
1b47d464-96cd-456c-b927-e7fa2800f14f,BLAN_050.basePlot.vst,2018-09-05,vst_BLAN_2018,D02,BLAN,BLAN_050,NEON.PLA.D02.BLAN.08330,single shrub,6.3,130,5.5,NA,NA,NA,4.8,3.6,NA,inverted cone,8.7
