uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
71bcd95a-6f29-4b64-8287-ca9586d0e7bc,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02188,small shrub,NA,NA,1.3,NA,NA,NA,0.4,0.3,NA,cylinder,1.0,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
550be8c1-9fb0-4609-a776-7f9fdaa4c123,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02199,small shrub,NA,NA,1.6,0.7,NA,NA,0.7,0.6,NA,ellipsoid or sphere,1.1,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
28ab1cde-7802-4b7c-bce5-fd26ebc492a6,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02195,small shrub,NA,NA,1.1,NA,NA,NA,0.1,0.1,NA,cylinder,1.0,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
97998684-e4b1-43a0-a5bc-12bec797a9b1,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02175,small shrub,NA,NA,1.2,0.3,NA,NA,0.7,0.5,NA,ellipsoid or sphere,1.1,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
b0b47a77-d5cf-4074-98ae-edded50dbd94,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02152,small shrub,NA,NA,1.3,0.5,NA,NA,0.5,0.4,NA,ellipsoid or sphere,1.1,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
3f3ac916-043f-4be0-896e-cf72c3e175e5,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02183,small shrub,NA,NA,1.4,NA,NA,NA,0.5,0.5,NA,cylinder,1.4,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
bc6a14e6-af7d-42e9-b928-0dc64fddfd0f,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02190,small shrub,NA,NA,1.2,NA,NA,NA,0.5,0.4,NA,cylinder,1.0,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
95acaecf-4aab-4938-af8b-7b077fa3e287,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02178,small shrub,NA,NA,1.9,NA,NA,NA,0.5,0.2,NA,cylinder,2.4,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
24ad14ac-d1e6-4777-b5de-5ddfe1bc8155,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02302,small shrub,NA,NA,1.5,0.7,NA,NA,0.4,0.4,NA,ellipsoid or sphere,1.2,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
31871644-e5eb-4a79-959e-8c130fe19c8e,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02199,small shrub,NA,NA,1.6,0.7,NA,NA,0.7,0.6,NA,ellipsoid or sphere,1.5,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
c23474b2-704a-4727-8f02-9755eacdeb53,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02184,small shrub,NA,NA,1.3,0.5,NA,NA,0.4,0.4,NA,ellipsoid or sphere,1.2,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
7f882a8f-3c8c-4767-95f9-d1c8a664f828,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02186,small shrub,NA,NA,1.4,0.4,NA,NA,0.3,0.2,NA,ellipsoid or sphere,1.1,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
8f80bfa4-2d22-4834-a4b4-1fa7f08bb5fe,DSNY_020.basePlot.vst,2018-05-01,vst_DSNY_2017,D03,DSNY,DSNY_020,NEON.PLA.D03.DSNY.02172,single shrub,1.1,130,2.1,0.9,NA,NA,0.9,0.8,NA,ellipsoid or sphere,2.1,f7e1383aabd58d53a3eb0f70f239f22a,60ce5be1a3a4cf78822eed89961b4b8f
