uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
5e5844f3-15fe-46e5-8b7f-50ebc8f74757,GUAN_018.basePlot.vst,2016-02-16,vst_GUAN_2016,D04,GUAN,GUAN_018,NEON.PLA.D04.GUAN.04099,multi-bole tree,11.0,130,6.1,NA,NA,NA,8.0,7.0,Full sun,NA,NA
9267b826-fb84-4a1f-b125-444bfe787131,GUAN_018.basePlot.vst,2016-02-16,vst_GUAN_2016,D04,GUAN,GUAN_018,NEON.PLA.D04.GUAN.04202,single bole tree,13.0,130,5.5,NA,NA,NA,4.7,4.1,Partially shaded,NA,NA
5c444e8c-2c8b-457d-937f-d8c38f1a91bb,GUAN_018.basePlot.vst,2016-02-16,vst_GUAN_2016,D04,GUAN,GUAN_018,NEON.PLA.D04.GUAN.04981,single bole tree,12.0,130,4.6,NA,NA,NA,3.7,3.3,Full sun,NA,NA
e219d01d-8394-4964-b26b-fabb57dd3a70,GUAN_018.basePlot.vst,2016-02-16,vst_GUAN_2016,D04,GUAN,GUAN_018,NEON.PLA.D04.GUAN.04273,single bole tree,28.0,130,4.4,NA,NA,NA,8.5,6.9,Open grown,NA,NA
3a847b05-9e8a-4f5f-971b-b616aad4fa0e,GUAN_018.basePlot.vst,2016-02-16,vst_GUAN_2016,D04,GUAN,GUAN_018,NEON.PLA.D04.GUAN.04099A,multi-bole tree,10.3,130,6.1,NA,NA,NA,8.0,7.0,Full sun,NA,NA
67f32500-d165-4988-9613-7fd3a022ef72,GUAN_004.basePlot.vst,2016-02-23,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04489,small tree,4.5,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
1508e289-c6e8-4949-98af-a44e9d5ec7df,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04333B,multi-bole tree,10.0,180,8.5,NA,NA,NA,7.9,6.1,Full sun,NA,NA
f1810d4c-162e-4e3a-860d-48bdb837747d,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04334A,multi-bole tree,20.5,138,5.5,NA,NA,NA,7.7,7.0,Full sun,NA,NA
25f2a8f0-08d0-446c-97a3-0fdc5913dfe3,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04333,multi-bole tree,15.0,165,8.5,NA,NA,NA,7.9,6.1,Full sun,NA,NA
678871bc-5f89-435a-adcf-d7863e298e48,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04330,single bole tree,10.5,130,5.0,NA,NA,NA,4.9,3.3,Open grown,NA,NA
e50fac43-1af5-410e-a0d2-00fe32a15187,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04331,multi-bole tree,29.2,74,9.0,NA,NA,NA,11.0,9.1,Open grown,NA,NA
95e1fb53-a223-45d6-9145-b12f63efd3ad,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04331A,multi-bole tree,13.4,NA,9.0,NA,NA,NA,11.0,9.1,Open grown,NA,NA
56efe779-f964-4635-b81f-ecc032065490,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04334,multi-bole tree,27.7,80,5.5,NA,NA,NA,7.7,7.0,Full sun,NA,NA
48805900-b90d-4117-a761-fb05ff205fe4,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04335,multi-bole tree,13.5,190,3.3,NA,NA,NA,6.4,6.0,Full sun,NA,NA
e3871a68-84fc-4379-ad62-f07bd964b8c7,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04333A,multi-bole tree,13.5,165,8.5,NA,NA,NA,7.9,6.1,Full sun,NA,NA
fd220dcb-6250-43fa-8bb7-57175eee1640,GUAN_004.basePlot.vst,2016-02-26,vst_GUAN_2016,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04332,single bole tree,14.2,130,5.4,NA,NA,NA,4.0,3.8,Open grown,NA,NA
