uid,namedLocation,date,eventID,domainID,siteID,plotID,measuredBy,recordedBy,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
2e06abb9-9bde-4ff6-8851-aac8abc00e99,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05193,NA,single shrub,1.0,130,1.4,NA,NA,NA,2.4,2.0,NA,inverted cone,1.0
ac5680ec-2239-47df-9681-9f306c4d5647,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.04356,NA,single bole tree,16.3,130,4.4,NA,NA,NA,5.3,2.8,Open grown,NA,NA
48704989-8cd9-49ce-9a6f-158bff1ff390,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.03548B,NA,multi-bole tree,6.5,130,5.3,NA,NA,NA,5.0,2.4,Full sun,NA,NA
de8aec6d-6ece-48cb-873c-043af4894fd5,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05154,NA,single shrub,4.1,130,2.5,NA,NA,NA,3.5,1.6,NA,cone,1.0
e8f4563e-fab1-4352-bfe9-10cae44bc3e3,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05193,NA,single shrub,2.2,130,1.4,NA,NA,NA,2.4,2.0,NA,inverted cone,2.6
27a0a1ad-0749-4142-9b2d-2fce7b2a4c88,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05178,NA,single shrub,2.4,130,4.5,NA,NA,NA,1.2,0.8,NA,inverted cone,2.9
573d6725-9eac-4f7e-b124-b02019cf1caf,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05200,NA,sapling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
7ffdcf74-6d2b-427d-872f-b34379eb514d,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05154,NA,single shrub,3.5,130,2.5,NA,NA,NA,3.5,1.6,NA,cone,1.0
158510f8-44c0-4419-8d06-6f3be56cf849,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05178,NA,single shrub,1.3,130,4.5,NA,NA,NA,1.2,0.8,NA,inverted cone,1.5
a8fca2ec-881c-4ea9-b101-473f2f675efc,GUAN_008.basePlot.vst,2016-03-31,vst_GUAN_2016,D04,GUAN,GUAN_008,2c996e13a32125e8feeb83b3a351b7cf,e3a39e7ed3fd15f9338ef5c82b098297,NEON.PLA.D04.GUAN.05198,NA,sapling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
