uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
c35688a8-2841-4c1f-932e-f821a677ed15,GUAN_004.basePlot.vst,2018-01-08,vst_GUAN_2017,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04332,NA,single bole tree,14.7,130,6.3,NA,NA,NA,4.4,4.4,Full sun,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
990924f2-d199-47c9-b61e-1f78fb44b621,GUAN_004.basePlot.vst,2018-01-08,vst_GUAN_2017,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04331A,NA,multi-bole tree,13.7,130,8.2,NA,NA,NA,11.0,6.0,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
2b6b17eb-da9e-42e4-9916-ab85893ffbca,GUAN_004.basePlot.vst,2018-01-08,vst_GUAN_2017,D04,GUAN,GUAN_004,NEON.PLA.D04.GUAN.04489,NA,single bole tree,13.0,130,6.3,NA,NA,NA,1.8,1.6,Full sun,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
14e2254c-7d83-462e-859d-60e0c23f2ba8,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02193,NA,multi-bole tree,14.9,130,4.4,NA,NA,NA,6.1,3.9,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
f90db828-b6ae-43da-b68c-aa0612d3922d,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02199,NA,single bole tree,15.7,130,4.0,NA,NA,NA,2.7,2.4,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
c44dbf8f-aefe-4392-8d37-37ee3502f9fb,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02192,NA,multi-bole tree,15.9,130,4.4,NA,NA,NA,4.0,2.5,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
4e4bf7ec-ff28-4478-b169-4f9456638b00,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02194,NA,multi-bole tree,15.4,130,3.6,NA,NA,NA,5.0,1.5,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
d0d88194-c2b7-407e-a960-73dd9b04a824,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02197D,NA,multi-bole tree,6.4,130,3.1,NA,NA,NA,5.1,4.0,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
98984aa4-316f-4565-b02b-61ccde915a73,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02190A,NA,multi-bole tree,13.3,130,6.4,NA,NA,NA,8.0,6.7,Full sun,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
d0c540e1-9e84-40be-b13d-2b8998f45515,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02197B,NA,multi-bole tree,10.1,130,3.1,NA,NA,NA,5.1,4.0,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
b4d0e50c-f4f6-4b05-8e3a-77e6d308302e,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02196,NA,single bole tree,12.5,130,3.8,NA,NA,NA,1.9,1.8,Full sun,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
d1923e0d-74a7-4c35-b310-5d5a2145ed0a,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02025B,NA,multi-bole tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
7ade17e3-e697-46ae-8d4a-168089c0062c,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02190D,NA,multi-bole tree,7.6,130,6.4,NA,NA,NA,8.0,6.7,Full sun,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
3ded398a-b8c0-44e5-b9ab-44f63ae0d470,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02194A,NA,multi-bole tree,10.0,130,3.6,NA,NA,NA,5.0,1.5,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
769f55b6-314c-4511-9e54-dbf959eddcef,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02197,NA,multi-bole tree,15.9,130,3.1,NA,NA,NA,5.1,4.0,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
f50f3ef8-4cdd-41ee-8816-cc217c4b9263,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02197C,NA,multi-bole tree,9.0,130,3.1,NA,NA,NA,5.1,4.0,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
f9bf9e08-0894-4571-a4d9-534a338a031b,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02025,NA,multi-bole tree,19.7,130,6.3,NA,NA,NA,8.0,6.0,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
ea3f369d-7c96-4fe1-a714-f59ab162a1d8,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02190C,NA,multi-bole tree,10.5,130,6.4,NA,NA,NA,8.0,6.7,Full sun,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
3722a64b-eee9-4b38-a2cc-56969d00183e,GUAN_017.basePlot.vst,2018-01-11,vst_GUAN_2017,D04,GUAN,GUAN_017,NEON.PLA.D04.GUAN.02200A,NA,multi-bole tree,13.0,130,5.1,NA,NA,NA,6.5,3.7,Partially shaded,NA,NA,fc593d341960c78e5227ed90bba1ee3f,67499baacf0123d415a4bb5d2903a907
28581b0c-6570-4b00-8d53-a15545e63612,GUAN_001.basePlot.vst,2018-01-15,vst_GUAN_2017,D04,GUAN,GUAN_001,NEON.PLA.D04.GUAN.04564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7fc85b9a5e2095946d672ee825424220,67499baacf0123d415a4bb5d2903a907
e2223db2-8ed1-4375-bed9-5144096ff3bf,GUAN_001.basePlot.vst,2018-01-15,vst_GUAN_2017,D04,GUAN,GUAN_001,NEON.PLA.D04.GUAN.04562,NA,multi-bole tree,12.4,140,8.6,NA,NA,NA,5.0,2.0,Partially shaded,NA,NA,7fc85b9a5e2095946d672ee825424220,67499baacf0123d415a4bb5d2903a907
a59febb3-6ae2-4bc2-a9c9-b98e1ff52612,GUAN_008.basePlot.vst,2018-01-17,vst_GUAN_2017,D04,GUAN,GUAN_008,NEON.PLA.D04.GUAN.04354,NA,single shrub,5.6,130,4.3,NA,NA,NA,2.8,2.3,NA,cylinder,6.6,ac35660f11cf4ac443e6c8be53fd9d4b,67499baacf0123d415a4bb5d2903a907
d92b312a-b532-417d-9095-a9e024045b0b,GUAN_008.basePlot.vst,2018-01-17,vst_GUAN_2017,D04,GUAN,GUAN_008,NEON.PLA.D04.GUAN.04356,NA,single bole tree,17.2,130,2.8,NA,NA,NA,NA,NA,Open grown,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,67499baacf0123d415a4bb5d2903a907
83c45588-a0d1-4ce5-a447-45327f1a133c,GUAN_008.basePlot.vst,2018-01-17,vst_GUAN_2017,D04,GUAN,GUAN_008,NEON.PLA.D04.GUAN.04345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,67499baacf0123d415a4bb5d2903a907
d30f78af-7d0b-4a36-a296-c28e16c3b1bc,GUAN_002.basePlot.vst,2018-01-19,vst_GUAN_2017,D04,GUAN,GUAN_002,NEON.PLA.D04.GUAN.01945,NA,single bole tree,17.3,130,7.3,NA,NA,NA,7.4,5.0,Partially shaded,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,67499baacf0123d415a4bb5d2903a907
beebd4ec-200d-462c-8cd8-d5f02ef8bb61,GUAN_002.basePlot.vst,2018-01-19,vst_GUAN_2017,D04,GUAN,GUAN_002,NEON.PLA.D04.GUAN.01946,NA,multi-bole tree,12.7,130,5.3,NA,NA,NA,5.4,5.0,Partially shaded,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,67499baacf0123d415a4bb5d2903a907
8924efc1-7c4e-4e68-b4cb-b381fdbe1866,GUAN_002.basePlot.vst,2018-01-19,vst_GUAN_2017,D04,GUAN,GUAN_002,NEON.PLA.D04.GUAN.01943,NA,multi-bole tree,13.2,130,6.3,NA,NA,NA,4.2,4.0,Full sun,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,67499baacf0123d415a4bb5d2903a907
b0e5a47e-c992-4e90-bb4a-acff3e325bdf,GUAN_002.basePlot.vst,2018-01-19,vst_GUAN_2017,D04,GUAN,GUAN_002,NEON.PLA.D04.GUAN.01947,NA,single bole tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,67499baacf0123d415a4bb5d2903a907
