uid,namedLocation,date,eventID,domainID,siteID,plotID,measuredBy,recordedBy,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
ad635ffb-6b7d-4c89-8872-e606706b83ed,GRSM_048.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_048,2fddaaee11e79898768a3df4726df9c2,c4a9e501d00fab784372409bb2b594a6,NEON.PLA.D07.GRSM.00145,NA,single bole tree,44.0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
2249dcbb-4426-4711-89e6-6e77efd60a48,GRSM_057.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_057,1dab0eaaa974bca1f6fa6523b180e6fa,2fddaaee11e79898768a3df4726df9c2,NEON.PLA.D07.GRSM.00011,NA,small tree,2.5,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c71d73c-9b69-43da-a5af-d73ec4b96ef6,GRSM_048.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_048,2fddaaee11e79898768a3df4726df9c2,c4a9e501d00fab784372409bb2b594a6,NEON.PLA.D07.GRSM.00183,NA,single shrub,NA,NA,3.7,NA,NA,NA,2.9,2.2,NA,NA,NA
7c2061fb-8787-455b-958a-cd4aa7641936,GRSM_057.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_057,1dab0eaaa974bca1f6fa6523b180e6fa,2fddaaee11e79898768a3df4726df9c2,NEON.PLA.D07.GRSM.00006,NA,sapling,1.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
a39fe2a8-3527-4f72-82b1-8198682771db,GRSM_057.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_057,1dab0eaaa974bca1f6fa6523b180e6fa,2fddaaee11e79898768a3df4726df9c2,NEON.PLA.D07.GRSM.00087,NA,single shrub,NA,NA,2.0,NA,NA,NA,2.2,1.5,NA,NA,NA
889a2c78-b98b-4521-aae4-e859a1617ae1,GRSM_057.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_057,1dab0eaaa974bca1f6fa6523b180e6fa,2fddaaee11e79898768a3df4726df9c2,NEON.PLA.D07.GRSM.00031A,NA,NA,25.5,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
7b19264c-6820-4ba1-9f6c-77d650623f40,GRSM_048.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_048,2fddaaee11e79898768a3df4726df9c2,c4a9e501d00fab784372409bb2b594a6,NEON.PLA.D07.GRSM.00195,NA,liana,3.0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
2ef473ba-a9ce-4973-9a38-7518ad8852d9,GRSM_048.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_048,2fddaaee11e79898768a3df4726df9c2,c4a9e501d00fab784372409bb2b594a6,NEON.PLA.D07.GRSM.00120,NA,sapling,1.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac4648fa-032b-4b76-94f2-b14440303259,GRSM_057.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_057,1dab0eaaa974bca1f6fa6523b180e6fa,2fddaaee11e79898768a3df4726df9c2,NEON.PLA.D07.GRSM.00092,NA,sapling,1.0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
adcd8bf3-6d06-4954-8ee4-ef88ec7b5141,GRSM_048.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_048,2fddaaee11e79898768a3df4726df9c2,c4a9e501d00fab784372409bb2b594a6,NEON.PLA.D07.GRSM.00160,NA,small tree,9.0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
6f7ec930-3f5c-4b96-a554-4374dc325297,GRSM_048.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_048,2fddaaee11e79898768a3df4726df9c2,c4a9e501d00fab784372409bb2b594a6,NEON.PLA.D07.GRSM.00123,NA,sapling,1.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1307f92-974e-4388-9e71-c18d3762fd56,GRSM_048.basePlot.vst,2015-05-18,vst_GRSM_2015,D07,GRSM,GRSM_048,2fddaaee11e79898768a3df4726df9c2,c4a9e501d00fab784372409bb2b594a6,NEON.PLA.D07.GRSM.00154,NA,single bole tree,13.4,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
38d4f23f-4441-4fd4-88e7-e74a330c6c43,GRSM_061.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_061,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00252,NA,sapling,1.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
8a88774b-aa3d-43e3-9460-998f9a087dac,GRSM_061.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_061,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00245,NA,sapling,1.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
e8d9be74-9bad-4ae5-82b7-74a03deedeb6,GRSM_061.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_061,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00237,NA,sapling,1.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
893ac19f-d234-4077-926a-5f39ec5eb118,GRSM_061.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_061,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00320,NA,single shrub,NA,NA,5.6,NA,NA,NA,4.5,2.8,NA,NA,NA
40d04fac-4077-4678-85e6-286d2e03ee10,GRSM_059.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_059,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00368,NA,single bole tree,17.0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bb71330-5112-4253-92b0-506a8d17a22d,GRSM_059.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_059,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00364,NA,single shrub,NA,NA,1.8,NA,NA,NA,0.9,0.8,NA,cylinder,NA
d048a60c-0700-4115-a4e4-ee858f6936ea,GRSM_059.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_059,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00379,NA,single bole tree,17.2,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a871ca4-4bd9-4a1b-a1a1-b685e6bbb366,GRSM_059.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_059,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00409,NA,small tree,3.0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
e4a29e37-f6b3-486e-8ea0-201536e8916c,GRSM_061.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_061,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00278,NA,sapling,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd95a0cd-6de4-46c4-8bec-84b64b9e4e9a,GRSM_059.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_059,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00437,NA,single bole tree,13.7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
7ae8aaff-5880-401c-94f7-faa9cddebd7e,GRSM_059.basePlot.vst,2015-05-19,vst_GRSM_2015,D07,GRSM,GRSM_059,2fddaaee11e79898768a3df4726df9c2,1dab0eaaa974bca1f6fa6523b180e6fa,NEON.PLA.D07.GRSM.00426,NA,small tree,8.1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
