uid,namedLocation,date,eventID,plotID,individualID,growthForm,plantStatus,stemDiameter,measurementHeight,height
280a9491-9be8-44b4-adaa-7c423c4a8da4,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00508,NA,"Lost, burned",NA,NA,NA
7499c7ab-9702-4551-abd4-3330b5878b98,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00623,single shrub,Standing dead,3.2,130,3.3
ce83ee90-f229-429c-87d4-2b019bbe4a1f,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00660,small tree,Standing dead,8.7,130,5.7
822e67d7-c477-44bf-944e-21f0dc4f6656,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00533,single bole tree,Standing dead,13,130,7.7
d27048a9-0b1d-4dbf-9aae-41149e5d814a,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00544,single shrub,Standing dead,3.8,130,1.2
9b722f0d-b356-4584-a693-cdf13e098435,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00692,single bole tree,"Live, physically damaged",12.5,130,10.9
306b4c88-20cb-44be-9225-d15ed960e85f,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00537,single shrub,Standing dead,3.7,130,3.7
e26c9744-499a-4b34-a531-00f7d6acd37d,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00537,single shrub,Standing dead,NA,NA,3.7
788bb1e8-dd47-44e5-9269-cdde63f0bb97,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00576,single shrub,Standing dead,3.8,130,3.9
8840bd90-b104-4d14-b0c3-867874ba3fa1,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00507,small tree,Standing dead,6.2,130,6.7
d2e90c8f-7110-4c17-a0f1-61b074a2e3c9,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00686,small tree,Standing dead,5,130,5
169390d0-bc6a-44b4-8cba-a12acde11f16,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00652,small tree,Standing dead,9.9,130,9.3
f5ac7287-2682-477c-a174-52da7f5c3dc7,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00536,single shrub,Standing dead,2.6,130,1.3
e13c125c-cbaf-4f4a-a165-7fa28b4c813d,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00667,small tree,Standing dead,4.5,130,5.1
6c897dba-e7c4-4d60-aa1b-6f3850b60469,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00639,single shrub,Standing dead,1.3,130,0.4
17f2852c-6bec-414b-959e-62a65ef38159,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00632,single shrub,Standing dead,3.3,130,1.4
98d6f29d-20f8-4472-984f-e3cff7a66f2b,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00561,liana,Standing dead,1.7,130,NA
ab3fb70d-267a-49fc-8036-fd6f64b223fd,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00583,single bole tree,Live,27.8,130,17.8
d258b967-d63a-41e9-9379-7cd5851e3d18,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00556,single shrub,Standing dead,2.7,130,2.7
0d1641d6-11f0-40da-b3bd-a20345be6f6a,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00636,single bole tree,Live,38,130,18.5
f86f692f-4e0e-4390-859d-a7005605f946,GRSM_052.basePlot.vst,2017-11-01,vst_GRSM_2017,GRSM_052,NEON.PLA.D07.GRSM.00530,single bole tree,Live,23.3,130,4.6
7980f925-d7c1-48b9-9e0b-618ef0566dd9,GRSM_049.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_049,NEON.PLA.D07.GRSM.00870,NA,"Lost, presumed dead",NA,NA,NA
5f0857e6-c77a-4058-9c87-d3f8b851d0ce,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00729,single shrub,Live,2,130,2.5
2c28266b-924d-4d43-9ad2-fd74af7e8648,GRSM_049.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_049,NEON.PLA.D07.GRSM.00795,single shrub,Standing dead,3.5,130,2.9
2b1efa47-ea44-4992-913a-6ce143364350,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00743,single shrub,Live,1.2,130,2
2240ef41-aa1a-4552-ba24-7cc626d8f69e,GRSM_049.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_049,NEON.PLA.D07.GRSM.00809,single bole tree,Live,38.9,130,22.9
2a8a9b49-baa5-42f7-9cc0-53438d10e8e6,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00766,single shrub,Live,1.1,130,1.9
ab956eba-b9c1-4015-8124-91d916a2e4ce,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00735,single shrub,Live,NA,NA,2.5
5be07cc4-7c17-4cee-839b-96fa9363f5cb,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00748,single shrub,Standing dead,2.6,130,3.1
7574589a-d9d0-4dc4-ad4b-5dd000f9188d,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00743,single shrub,Live,NA,NA,2
63a18c37-da56-4d70-ab4c-cbaae9e7afa9,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00746,single bole tree,Live,43.1,130,34.3
b2c5f8d8-31c6-40d8-b35b-e0774fccdb6b,GRSM_049.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_049,NEON.PLA.D07.GRSM.00845,single bole tree,Standing dead,10.3,130,4.7
9fbb9c4f-8f56-4d3b-98a9-c1b141278358,GRSM_049.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_049,NEON.PLA.D07.GRSM.00837,sapling,Standing dead,NA,NA,1.1
add28baa-d080-4b59-9db8-598df61c62dd,GRSM_049.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_049,NEON.PLA.D07.GRSM.00878,NA,Downed,NA,NA,NA
231e6aed-0d24-4725-933a-3106dda744f8,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00729,single shrub,Live,NA,NA,2.5
d8408ee4-74a6-4725-a984-cd2fef473bae,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00735,single shrub,Live,1.8,130,2.5
1ad4f055-1543-4986-8736-e6552700d7af,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00728,small tree,"Live, physically damaged",1.5,130,2
f4d9c7f1-8f0b-49f0-be4b-37b5f53530eb,GRSM_049.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_049,NEON.PLA.D07.GRSM.00879,NA,"Lost, burned",NA,NA,NA
d8d35ccf-c377-47fe-8dc6-cdc69e34e514,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00723,single bole tree,Live,34,130,30.7
84d15371-61d3-434c-a2d1-c87c4017d647,GRSM_058.basePlot.vst,2017-11-02,vst_GRSM_2017,GRSM_058,NEON.PLA.D07.GRSM.00729,single shrub,Live,NA,NA,2.5
01694684-e765-439b-8b6b-906671985327,GRSM_062.basePlot.vst,2017-11-06,vst_GRSM_2017,GRSM_062,NEON.PLA.D07.GRSM.01686,small tree,Standing dead,3.1,130,3.2
46988809-a878-41ab-9e89-628d34424be3,GRSM_062.basePlot.vst,2017-11-06,vst_GRSM_2017,GRSM_062,NEON.PLA.D07.GRSM.01709,NA,"Lost, burned",NA,NA,NA
d056a996-090b-443c-bcd9-396d0416e01e,GRSM_062.basePlot.vst,2017-11-06,vst_GRSM_2017,GRSM_062,NEON.PLA.D07.GRSM.01725,NA,"Lost, burned",NA,NA,NA
eba2e13a-42d4-4deb-bfa8-40755a7b98b7,GRSM_062.basePlot.vst,2017-11-06,vst_GRSM_2017,GRSM_062,NEON.PLA.D07.GRSM.01643,single shrub,Standing dead,2.2,130,1.5
91e8e934-ef4f-4f72-8151-e28512667293,GRSM_062.basePlot.vst,2017-11-06,vst_GRSM_2017,GRSM_062,NEON.PLA.D07.GRSM.01741A,multi-bole tree,"Dead, broken bole",11.9,130,6.8
a91306eb-e0f1-4cea-91a2-cd8be1ccfbc5,GRSM_062.basePlot.vst,2017-11-06,vst_GRSM_2017,GRSM_062,NEON.PLA.D07.GRSM.01739,single bole tree,"Live, physically damaged",27.9,130,15.3
6488bdbb-ce05-4d21-9ce5-10400f3a5d89,GRSM_062.basePlot.vst,2017-11-06,vst_GRSM_2017,GRSM_062,NEON.PLA.D07.GRSM.01696,NA,"Lost, burned",NA,NA,NA
