uid,namedLocation,date,eventID,domainID,siteID,plotID,measuredBy,recordedBy,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
9f13cfdb-3f1f-4dc6-afaf-fc90ed22a2dc,DELA_046.basePlot.vst,2015-09-14,vst_DELA_2015,D08,DELA,DELA_046,84031cd7322a83d081b545af8f2f00d4,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04034,NA,single bole tree,14.2,130,14.6,NA,NA,NA,NA,NA,NA,NA,NA
a33dcc68-93eb-4b09-a899-4c8697687794,DELA_046.basePlot.vst,2015-09-14,vst_DELA_2015,D08,DELA,DELA_046,84031cd7322a83d081b545af8f2f00d4,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04031,NA,single bole tree,12.0,130,12.5,NA,NA,NA,NA,NA,NA,NA,NA
1d1eb69e-4858-4138-af1a-4a30eba6c10a,DELA_046.basePlot.vst,2015-09-14,vst_DELA_2015,D08,DELA,DELA_046,84031cd7322a83d081b545af8f2f00d4,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04069,NA,single bole tree,21.7,130,18.8,NA,NA,NA,NA,NA,NA,NA,NA
646ae972-b4ea-475a-8460-0ffcdf27cd7f,DELA_046.basePlot.vst,2015-09-14,vst_DELA_2015,D08,DELA,DELA_046,84031cd7322a83d081b545af8f2f00d4,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04049,NA,single bole tree,10.9,130,7.4,NA,NA,NA,NA,NA,NA,NA,NA
71fdf5ab-b1f0-4851-87e1-b806841d702d,DELA_046.basePlot.vst,2015-09-14,vst_DELA_2015,D08,DELA,DELA_046,84031cd7322a83d081b545af8f2f00d4,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04026,NA,single bole tree,30.0,130,22.5,NA,NA,NA,NA,NA,NA,NA,NA
8396743b-74de-454b-93e9-25f0fb730e45,DELA_046.basePlot.vst,2015-09-14,vst_DELA_2015,D08,DELA,DELA_046,84031cd7322a83d081b545af8f2f00d4,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04057,NA,single bole tree,33.2,130,23.2,NA,NA,NA,NA,NA,NA,NA,NA
95c24896-038a-4c93-9a3e-796e2f948fa1,DELA_053.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_053,0ab49a78aa8b0995817ec8ac59defadd,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04280,NA,single bole tree,17.9,130,16.1,NA,NA,NA,NA,NA,NA,NA,NA
ba3aa8ce-91be-4c45-828c-5441c8e8b236,DELA_051.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_051,bed647bebd599d47c4f2b65cf17851d5,84031cd7322a83d081b545af8f2f00d4,NEON.PLA.D08.DELA.09149,NA,small tree,9.3,130,2.0,NA,NA,NA,9.3,NA,NA,NA,NA
b6218e7f-b156-4753-a16c-58aac1285ec7,DELA_051.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_051,bed647bebd599d47c4f2b65cf17851d5,84031cd7322a83d081b545af8f2f00d4,NEON.PLA.D08.DELA.09160,NA,single bole tree,33.0,130,11.0,NA,NA,NA,NA,NA,NA,NA,NA
d0e79cbf-e091-4b28-b3e7-70218beaf61b,DELA_053.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_053,0ab49a78aa8b0995817ec8ac59defadd,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.09505,NA,sapling,1.1,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA
eca55d61-e449-4ecf-80b7-e662bcaad7fd,DELA_051.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_051,bed647bebd599d47c4f2b65cf17851d5,84031cd7322a83d081b545af8f2f00d4,NEON.PLA.D08.DELA.04089,NA,multi-bole tree,35.8,60,15.2,NA,NA,NA,NA,NA,NA,NA,NA
6964f1a8-152f-4373-93c0-097cd831773c,DELA_053.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_053,0ab49a78aa8b0995817ec8ac59defadd,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.09502,NA,small tree,8.5,130,8.6,NA,NA,NA,NA,NA,NA,NA,NA
d3c6c450-2c02-4ffc-a1b8-a8348bbdd51b,DELA_051.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_051,bed647bebd599d47c4f2b65cf17851d5,84031cd7322a83d081b545af8f2f00d4,NEON.PLA.D08.DELA.09162,NA,single bole tree,29.0,130,14.2,NA,NA,NA,NA,NA,NA,NA,NA
75795ff2-8c25-43f4-b6c2-a12addd78c70,DELA_053.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_053,0ab49a78aa8b0995817ec8ac59defadd,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04220,NA,single bole tree,69.4,130,25.2,NA,NA,NA,NA,NA,NA,NA,NA
deab16a9-a5e6-4918-b0c3-9ca153f29cf1,DELA_051.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_051,bed647bebd599d47c4f2b65cf17851d5,84031cd7322a83d081b545af8f2f00d4,NEON.PLA.D08.DELA.04075,NA,small tree,4.0,130,5.7,NA,NA,NA,NA,NA,NA,NA,NA
5a1ec844-5f18-4cef-b8b9-653c23a9cffc,DELA_053.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_053,0ab49a78aa8b0995817ec8ac59defadd,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04267,NA,small tree,4.8,130,5.9,NA,NA,NA,NA,NA,NA,NA,NA
e6310831-91d2-479b-b393-7b72ca07a079,DELA_051.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_051,bed647bebd599d47c4f2b65cf17851d5,84031cd7322a83d081b545af8f2f00d4,NEON.PLA.D08.DELA.04091,NA,liana,1.1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
fb3a86fb-00f6-4349-8eda-23d690938ae0,DELA_053.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_053,0ab49a78aa8b0995817ec8ac59defadd,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04230,NA,single bole tree,32.6,130,23.0,NA,NA,NA,NA,NA,NA,NA,NA
05533a35-72f9-4011-97a6-1a6721639da5,DELA_053.basePlot.vst,2015-09-15,vst_DELA_2015,D08,DELA,DELA_053,0ab49a78aa8b0995817ec8ac59defadd,5e96a3ef35b39ec83080acb339a685cb,NEON.PLA.D08.DELA.04236,NA,small shrub,1.3,10,1.2,NA,NA,NA,1.7,0.9,NA,inverted cone,NA
