uid,namedLocation,date,eventID,plotID,individualID,growthForm,plantStatus,stemDiameter,measurementHeight,height
667379a2-d64c-4873-9778-cf4ce11adfc8,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.04832,sapling,Live,NA,NA,1.6
40c94343-f715-4266-bd02-6c5ec88f47a4,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.04859,single bole tree,Live,38.5,130,27.3
fecfb2b5-7e09-4a63-8eb3-cac63b790bab,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.04849,small tree,Live,1.6,130,1.7
4de5afc1-8a42-455c-bb92-582da39f41c5,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.04876,single bole tree,Live,15,130,6.6
297eef3a-0764-417e-b242-536bd1bcdbf3,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.04844,small tree,Live,1.5,130,2.4
3a126c16-444e-43e1-a436-4c646f8239f1,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.12275,sapling,Live,NA,NA,0.9
a0bfd114-f0fb-46a7-8668-daf74ea624c6,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.04878,single bole tree,Live,23.6,130,15.9
0a626803-32eb-4b55-9453-3cd230d6f2dc,DELA_045.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_045,NEON.PLA.D08.DELA.04829,NA,No longer qualifies,NA,NA,NA
eb1759e8-484a-4db2-89e3-379cb7ed3a7d,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03735,liana,Downed,NA,NA,NA
26206644-78c8-4b36-a341-a11b985300a7,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03746,small tree,Live,2.6,130,3.3
b0b3ed33-2ef3-46af-8170-dc7879d4fc19,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03776,single bole tree,Downed,NA,NA,NA
4f9f567a-fd12-4474-81bc-eadf0701462e,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03763,sapling,Downed,NA,NA,NA
5724be2d-9c84-4345-a304-76aa4aab8882,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.12863,sapling,Live,NA,NA,1
f8aa2618-3e0b-40ca-ac7a-2a57fe82b4a7,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03748,small tree,Live,2.1,130,3.2
60de3e14-3773-45cf-a63f-b08a8814b3ab,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03692,small tree,Live,7,130,3.2
41a00df1-0b64-496f-86d0-e928ed441f9b,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03737,small tree,Live,2.9,130,3.6
4e6767e4-562e-448c-892d-20ce649ef1c4,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03766,single bole tree,Live,14.1,130,14.2
477a9ba7-df79-47de-afe5-2ea1640723c0,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03758,small tree,Live,2.8,130,4.2
a5393592-14cf-4146-9d87-9b78f66aa3c9,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03711,single bole tree,Live,13,130,9
9323eca8-1125-4894-a300-2e92287f64c3,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03688,sapling,Live,NA,NA,1.8
275d4a83-d9ee-4409-8465-8c1129c8ec85,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03776,single bole tree,Standing dead,37.2,130,5
7d1ebc23-00dd-44aa-aa47-ac8c8d69756c,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.03719,single bole tree,Live,39.7,130,14.5
adad470b-e57c-42bb-9051-a366c4b18123,DELA_048.basePlot.vst,2016-10-03,vst_DELA_2016,DELA_048,NEON.PLA.D08.DELA.12270,sapling,Live,NA,NA,1.6
69890d96-45ce-4c9e-971c-aee97ef66b03,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.03796,liana,Live,2.6,50,NA
c7436b0f-babb-49d4-b1c8-5e46a159d54f,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.10052,single bole tree,Live,13.7,130,10.2
24d4f815-823d-4981-b287-a5d6dd4e5f7f,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.12518,small tree,Live,9.4,130,5.8
d26ca026-d79b-4055-8d07-b318c2d06325,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.03788,single bole tree,Live,17.7,130,8.5
8d63a13c-d273-4dfa-8ff1-e92c4dc1c3de,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.10088,liana,Live,2.4,130,NA
0fd6a467-0677-4852-9c92-075cec2f533a,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.10070,single shrub,Live,1.2,130,3.2
0af94f8f-18c4-4716-90d2-5c5ba66faa2e,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.03867,small tree,Live,2.1,130,1.8
58804c04-7a20-413b-9923-982a4bb4fa6c,DELA_047.basePlot.vst,2016-10-04,vst_DELA_2016,DELA_047,NEON.PLA.D08.DELA.10091,liana,Live,1.3,50,NA
