uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
23aecc66-b325-444d-a1c4-864ebd9cd901,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00112,sapling,1.4,10,1.0,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
a69e9164-e25b-4f1c-9e66-37295f9f35b9,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00012,sapling,1.1,10,0.3,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
90657cba-b5c1-4b9d-bbe1-8a19c43f17e8,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00070,sapling,2.1,10,0.5,NA,NA,NA,NA,NA,Partially shaded,NA,NA,8fff50b6241cc141ce6cc3903fd4f556,9947ec73d35f9d91fc9dfa74b01b25f4
d908218c-6b35-42c6-9cd5-6f12d892e6bb,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00109,sapling,1.0,10,0.9,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
06bf3453-37b3-474f-ae11-c62a8427447d,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00104,sapling,1.2,10,0.7,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
59e93762-9ee4-464f-9b91-e838e546acd4,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00059,sapling,2.7,10,1.1,NA,NA,NA,NA,NA,Open grown,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
c00f678d-d023-4f27-9653-94c1f8af477d,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00107,small shrub,1.2,10,1.0,NA,NA,NA,0.7,0.4,Full sun,inverted cone,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
9847e0c4-644a-45d9-88b4-dbd8605a00c5,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00111,sapling,1.2,10,0.9,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
65cae91c-e088-4080-818e-023bcdab79db,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00102,sapling,1.1,10,0.8,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
4a310e9d-d65f-4130-84ad-4a200a2ae231,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00103,sapling,1.2,10,0.6,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
de3dbeee-3d9d-44de-8f20-aaa8e5d0e3e8,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00060,sapling,1.1,10,0.7,NA,NA,NA,NA,NA,Full sun,NA,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
11679713-580a-41c9-875e-f7925c751a20,DCFS_089.basePlot.vst,2015-09-02,vst_DCFS_2015,D09,DCFS,DCFS_089,NEON.PLA.D09.DCFS.00105,small shrub,1.3,10,0.8,NA,NA,NA,0.7,0.3,Full sun,inverted cone,NA,f138c8d962fdf3f9235be8695cb88ee6,69aad80313847043673a0db3de1de28c
cfbee4f9-adc5-40d2-bb4d-7b8ca63b8fc2,DCFS_087.basePlot.vst,2015-09-03,vst_DCFS_2015,D09,DCFS,DCFS_087,NEON.PLA.D09.DCFS.00154,sapling,1.1,10,1.0,NA,NA,NA,NA,NA,Full sun,NA,NA,69aad80313847043673a0db3de1de28c,9947ec73d35f9d91fc9dfa74b01b25f4
b8eabdae-0022-4532-a25f-17e58eb770d2,DCFS_070.basePlot.vst,2015-09-03,vst_DCFS_2015,D09,DCFS,DCFS_070,NEON.PLA.D09.DCFS.00055,sapling,1.5,10,1.0,NA,NA,NA,NA,NA,Full sun,NA,NA,69aad80313847043673a0db3de1de28c,9947ec73d35f9d91fc9dfa74b01b25f4
3b4d8313-3ff5-411b-bac8-e879c05ae9cc,DCFS_087.basePlot.vst,2015-09-03,vst_DCFS_2015,D09,DCFS,DCFS_087,NEON.PLA.D09.DCFS.00118,small shrub,1.1,10,0.9,NA,NA,NA,0.6,0.5,Full sun,inverted cone,NA,69aad80313847043673a0db3de1de28c,9947ec73d35f9d91fc9dfa74b01b25f4
927951a5-9a07-49c3-9589-6ba77913d4da,DCFS_087.basePlot.vst,2015-09-03,vst_DCFS_2015,D09,DCFS,DCFS_087,NEON.PLA.D09.DCFS.00156,sapling,1.0,10,0.7,NA,NA,NA,NA,NA,Full sun,NA,NA,69aad80313847043673a0db3de1de28c,9947ec73d35f9d91fc9dfa74b01b25f4
