uid,namedLocation,date,eventID,domainID,siteID,plotID,taxonID,scientificName,taxonRank,measuredBy,recordedBy,individualID,pointID,stemDistance,stemAzimuth
56a2204b-a8d3-4ec2-9556-d566c7100e43,BART_050.basePlot.vst,2015-08-05,vst_BART_2015,D01,BART,BART_050,FRAM2,Fraxinus americana L.,species,68d699c2b09c95cbce509408570754b7,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.03068,21,14.3,19
87231819-a83b-4c1a-b5d7-5bdd6607fe2d,BART_070.basePlot.vst,2015-07-29,vst_BART_2015,D01,BART,BART_070,ACRU,Acer rubrum L.,species,fded07b2e763e3b084f1e15cf9e3120f,00dcd884fa3679b510ba68961ca9637c,NEON.PLA.D01.BART.03786,41,13.6,31.6
79de2eb9-8485-4c36-bb9c-f71842b2d751,BART_041.basePlot.vst,2015-07-22,vst_BART_2015,D01,BART,BART_041,TSCA,Tsuga canadensis (L.) Carrière,species,ee812cb54b2e0419496295af6a99c3dd,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.00324,41,14.3,324.3
0f1faa7b-9ca5-4869-a66a-753fd1b5558c,BART_074.basePlot.vst,2015-08-25,vst_BART_2015,D01,BART,BART_074,FAGR,Fagus grandifolia Ehrh.,species,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.05211,57,23.9,109.1
a2303569-2170-4473-a307-b37c0f3b7685,BART_072.basePlot.vst,2015-08-24,vst_BART_2015,D01,BART,BART_072,FAGR,Fagus grandifolia Ehrh.,species,ee812cb54b2e0419496295af6a99c3dd,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.05482,57,19.6,112.6
67189558-1adf-4795-b31b-0c87dd087dfe,BART_050.basePlot.vst,2015-08-05,vst_BART_2015,D01,BART,BART_050,TSCA,Tsuga canadensis (L.) Carrière,species,fc871354fbf5b2b8279f82b7e40032d2,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.03082,41,6.3,22.5
a778b0bb-6ef7-433e-a1ca-28cd5b31e53f,BART_036.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_036,FAGR,Fagus grandifolia Ehrh.,species,3be9691fc06e125e6c2b316fc6c6be4b,fded07b2e763e3b084f1e15cf9e3120f,NEON.PLA.D01.BART.04560,41,18.3,209.6
20d5ddc0-25dc-46f2-ba4b-2b568fd81618,BART_075.basePlot.vst,2015-08-12,vst_BART_2015,D01,BART,BART_075,BEAL2,Betula alleghaniensis Britton,species,ee812cb54b2e0419496295af6a99c3dd,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03242,25,1.2,339.7
55a15e15-cf6f-4d82-b3c2-edab43213f85,BART_041.basePlot.vst,2015-07-22,vst_BART_2015,D01,BART,BART_041,ACRU,Acer rubrum L.,species,ee812cb54b2e0419496295af6a99c3dd,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.00312,41,3.1,130.4
172ffc39-71cd-4300-9252-320cc353ea56,BART_042.basePlot.vst,2015-08-06,vst_BART_2015,D01,BART,BART_042,ACSAS,Acer saccharum Marshall var. saccharum,variety,fc871354fbf5b2b8279f82b7e40032d2,55611e71b358a30158c61810ad802435,NEON.PLA.D01.BART.03046,57,25.1,103.2
